fichier;soundfile;soundfile_short;decalage_first_signal;temps..s.;temps_corrected;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID;IdTraj;Imp;D;V;CvV;height;distLight;angle;spetrum;round;Vfinal;Site;Type
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1437.286377;1438.017377;-0.39541477;0.002073371;-1.909901977;0.003591991;0.859721839;0.014960976;40119.53125;20180710_104_red67;i25_34;0.015525208;999;999;999;1.809721839;5.247801366;-37.4397348;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1497.203247;1497.934247;-0.394297212;0.002105781;-1.909269929;0.003801067;0.863395452;0.014943643;40087.05078;20180710_104_red67;i26_35;0.015562612;999;999;999;1.813395452;5.246588736;-37.39935814;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1617.014404;1617.745404;-0.395556778;0.0021558;-1.910734534;0.003623825;0.866237938;0.015454064;40082.05469;20180710_104_red67;i27_36;0.016018979;999;999;999;1.816237938;5.243413201;-37.38679036;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1677.043213;1677.774213;-0.392526329;0.002014242;-1.909590364;0.003419817;0.87024188;0.014915572;40107.12109;20180710_104_red67;i28_37;0.015434592;999;999;999;1.82024188;5.243523666;-37.33082537;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1736.81604;1737.54704;-0.39420265;0.002015971;-1.910077929;0.003422554;0.88472265;0.014730028;40117.37109;20180710_104_red67;i29_38;0.015256203;999;999;999;1.83472265;5.233405153;-37.21601742;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;File_Y2018M7D10H22M28_1_39.xls;Y2018M7D10H22M28;0.731;1796.848022;1797.579022;-0.395789504;0.002154951;-1.908653975;0.003618836;0.869180739;0.015398548;40072.25781;20180710_104_red67;i30_39;0.015964181;999;999;999;1.819180739;5.242296507;-37.35564397;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;0;60.2;-0.395854712;0.002159582;-1.91232717;0.003645885;0.876866817;0.01659213;40208.00781;20180710_104_red67;i31_40;0.017124691;999;999;999;1.826866817;5.236125982;-37.30139726;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;59.91999817;120.1199982;-0.394891024;0.002124372;-1.906965733;0.003901847;0.837889791;0.015346132;40082.26563;20180710_104_red67;i32_41;0.015976268;999;999;999;1.787889791;5.262628162;-37.61570945;red;NA;999;67;individual_position
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.31040192;152.5104019;16.43667603;0.580201507;2.634619713;0.090273276;3.952737093;0.12930724;30611.78516;20180710_104_red67;33;0.601251541;0.121604919;999;0;4.902737093;21.48686496;-0.259357199;red;4;999;67;trajectory
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;File_Y2018M7D10H23M0_1_646.xls;Y2018M7D10H23M0;60.2;92.44159698;152.641597;15.52884293;0.505224466;2.623579979;0.082793713;4.031952858;0.123921379;29272.13672;20180710_104_red67;i33_45;0.526747633;0.131195068;999;999;4.981952858;20.62153834;-0.050142971;red;NA;999;67;individual_position
