ID;x..m.;LightSide;EdgeSide;Imp;distLight;angle;spetrum;Site;SpeciesGroup
20180710_104_red67;8.590324402;Left;Forest;0.239508654;14.69222847;-3.82903598;red;67;Pip
20180710_104_red67;6.853325367;Left;Forest;0.074022034;13.18115734;-3.332501727;red;67;Pip
20180710_104_red67;6.908349991;Left;Forest;0.109540724;13.47061837;-1.864900728;red;67;Pip
20180710_104_red67;5.49291563;Left;Forest;0.059004949;12.35033088;-2.439439816;red;67;Pip
20180710_104_red67;4.902995586;Left;Open;0.057978946;12.10968554;-1.370230165;red;67;Pip
20180710_104_red67;3.302290201;Left;Open;0.036103728;11.25809186;-2.052908516;red;67;Pip
20180710_104_red67;2.724781513;Left;Open;0.041081446;10.84000674;-2.702969707;red;67;Pip
20180710_104_red67;1.501034617;Left;Open;0.033973861;10.89159318;-1.54922241;red;67;Pip
20180710_104_red67;0.983470201;Left;Open;0.04521436;10.71020224;-2.186107807;red;67;Pip
20180710_104_red67;-0.435148925;Left;Open;0.035375031;10.58888832;-1.67164341;red;67;Pip
20180710_104_red67;-1.557841778;Left;Open;0.037431442;10.19521762;-4.837897814;red;67;Pip
20180710_104_red67;-2.894371748;Left;Open;0.034602877;9.574315001;-10.66935058;red;67;Pip
20180710_104_red67;-4.340063572;Right;Open;0.055477902;9.519749899;-12.68945071;red;67;Pip
20180710_104_red67;13.52081776;Left;Forest;0.635986709;18.77099636;1.670503546;red;67;Pip
20180710_104_red67;11.57500648;Left;Forest;0.27761729;17.1258889;2.903271344;red;67;Pip
20180710_104_red67;10.884552;Left;Forest;0.2621246;16.53207692;2.968947411;red;67;Pip
20180710_104_red67;9.682645798;Left;Forest;0.200474647;15.5938447;3.229170733;red;67;Pip
20180710_104_red67;9.180711746;Left;Forest;0.208714172;15.20868517;3.506701999;red;67;Pip
20180710_104_red67;7.890446186;Left;Forest;0.170857947;14.21945845;4.193579986;red;67;Pip
20180710_104_red67;7.204885006;Left;Forest;0.111763114;13.75897362;4.770755917;red;67;Pip
20180710_104_red67;5.837520599;Left;Forest;0.071535264;12.5219285;3.544021118;red;67;Pip
20180710_104_red67;5.942940235;Left;Open;0.119997402;13.7078641;8.168458792;red;67;Pip
20180710_104_red67;3.072129726;Left;Open;0.041782088;11.16293912;5.15397207;red;67;Pip
20180710_104_red67;2.668552399;Left;Open;0.05771414;11.33487308;6.407074556;red;67;Pip
20180710_104_red67;2.082607269;Left;Open;0.037414594;11.42356819;8.296980857;red;67;Pip
20180710_104_red67;1.437875509;Left;Open;0.048748897;10.96250566;7.850365009;red;67;Pip
20180710_104_red67;0.320867211;Left;Open;0.033973048;10.30867952;8.434200921;red;67;Pip
20180710_104_red67;-0.191554353;Left;Open;0.043432795;10.05156217;9.557712551;red;67;Pip
20180710_104_red67;-1.594279408;Left;Open;0.025073321;8.727517854;10.64665213;red;67;Pip
20180710_104_red67;-2.098309517;Left;Forest;0.028265749;7.993995271;11.6885134;red;67;Pip
20180710_104_red67;12.86014652;Left;Forest;0.505999926;18.16554538;-3.56913815;red;67;Pip
20180710_104_red67;12.65326881;Left;Forest;0.398526668;18.05732365;-2.780645422;red;67;Pip
20180710_104_red67;10.92823601;Left;Forest;0.260951746;16.54949224;-1.976551584;red;67;Pip
20180710_104_red67;9.578260422;Left;Forest;0.167367652;15.43393607;-1.069020883;red;67;Pip
20180710_104_red67;8.961016655;Left;Forest;0.179375155;14.91522592;-0.587035141;red;67;Pip
