fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H22M28_1_39.xls;1796.848022;-0.395789504;0.002154951;-1.908653975;0.003618836;0.869180739;0.015398548;40072.25781;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;0;-0.395854712;0.002159582;-1.91232717;0.003645885;0.876866817;0.01659213;40208.00781;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;59.91999817;-0.394891024;0.002124372;-1.906965733;0.003901847;0.837889791;0.015346132;40082.26563;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;91.50080109;-19.9417057;1.617071629;-4.311993122;0.385250032;2.574135303;0.381842285;29486.48828;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.188797;17.14469147;1.037526965;2.729009867;0.153528512;3.878672361;0.197613761;30835.53516;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.31040192;16.43667603;0.580201507;2.634619713;0.090273276;3.952737093;0.12930724;30611.78516;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.44159698;15.52884293;0.505224466;2.623579979;0.082793713;4.031952858;0.123921379;29272.13672;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.58879852;14.74926281;0.43878448;2.722547054;0.078205034;4.20346117;0.119584553;28671.66406;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.73600006;13.60041428;0.320577592;2.847622871;0.069484867;4.258512974;0.104199193;27543.08398;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.87680054;12.72288132;0.244310036;3.021597624;0.056843054;4.408764839;0.088899322;30106.44922;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;92.99839783;12.00049877;0.248745203;3.159514666;0.062647521;4.538448811;0.098212756;27946.77734;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.14240265;11.05982399;0.156622425;3.326616764;0.044651009;4.687044144;0.073911309;28089.67773;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;93.28959656;10.15293217;0.127371535;3.487430573;0.043263823;4.870728493;0.069847129;28001.88086;20180710_104_red67
